POSE,R_SHOULDER_X,R_SHOULDER_Y,R_SHOULDER_Z,R_SHOULDER_V,R_ELBOW_X,R_ELBOW_Y,R_ELBOW_Z,R_ELBOW_V,R_WRIST_X,R_WRIST_Y,R_WRIST_Z,R_WRIST_V,L_SHOULDER_X,L_SHOULDER_Y,L_SHOULDER_Z,L_SHOULDER_V,L_ELBOW_X,L_ELBOW_Y,L_ELBOW_Z,L_ELBOW_V,L_WRIST_X,L_WRIST_Y,L_WRIST_Z,L_WRIST_V
backward,0.46390676498413086,0.321018248796463,-0.07308974862098694,0.9982093572616577,0.431649774312973,0.5566697120666504,-0.19674979150295258,0.9707379937171936,0.34470775723457336,0.5151731371879578,-0.5885012745857239,0.9966285824775696,0.6493703126907349,0.19393283128738403,-0.24735847115516663,0.9998822212219238,0.745996356010437,0.3514484465122223,-0.33732831478118896,0.9946911931037903,0.7652199864387512,0.4477125406265259,-0.5995727777481079,0.9909868836402893
backward,0.5248932242393494,0.2887299954891205,-0.09132633358240128,0.9983280301094055,0.4798586964607239,0.5192129015922546,-0.29897797107696533,0.9735334515571594,0.44767436385154724,0.3109149932861328,-0.6430806517601013,0.9969388842582703,0.714306116104126,0.2050120234489441,-0.23335428535938263,0.9997884035110474,0.802045464515686,0.4033757150173187,-0.43755775690078735,0.9951332211494446,0.7672119736671448,0.18950343132019043,-0.7328979969024658,0.9917985200881958
backward,0.5433618426322937,0.27403008937835693,-0.08076673001050949,0.9984763860702515,0.48809656500816345,0.4931519031524658,-0.2591262757778168,0.9761431813240051,0.46748581528663635,0.26607322692871094,-0.5990890264511108,0.9972429275512695,0.7323712706565857,0.2208186239004135,-0.23508790135383606,0.9997775554656982,0.8129125833511353,0.4095902144908905,-0.5491650700569153,0.9956100583076477,0.7711620926856995,0.1586640477180481,-0.9035922884941101,0.9926139116287231
backward,0.5572423934936523,0.26074790954589844,-0.09587366878986359,0.998603880405426,0.4961276352405548,0.4769172966480255,-0.3221563398838043,0.978465735912323,0.48423683643341064,0.24271099269390106,-0.665782630443573,0.9975106716156006,0.7416935563087463,0.22647026181221008,-0.22960004210472107,0.999738335609436,0.8206799626350403,0.4067818820476532,-0.5365819931030273,0.9960240721702576,0.7735782861709595,0.1389269083738327,-0.8654020428657532,0.993333101272583
backward,0.565771222114563,0.2500443756580353,-0.14318729937076569,0.9987239837646484,0.5061520934104919,0.4694958031177521,-0.3739576041698456,0.9805270433425903,0.4988924562931061,0.22679503262043,-0.7185709476470947,0.997750461101532,0.7519456148147583,0.22464215755462646,-0.2420460432767868,0.9997423887252808,0.8267887830734253,0.4130752384662628,-0.5375932455062866,0.9963899850845337,0.7808167338371277,0.1484495848417282,-0.8532605767250061,0.9939863681793213
backward,0.5764606595039368,0.24451468884944916,-0.07371878623962402,0.9988306164741516,0.5192252993583679,0.4619291126728058,-0.3149915039539337,0.9824129939079285,0.5137773156166077,0.21349765360355377,-0.6686529517173767,0.9979698061943054,0.759162187576294,0.22485291957855225,-0.16350820660591125,0.9997392892837524,0.8261712789535522,0.41452130675315857,-0.4846968352794647,0.9967278242111206,0.7883646488189697,0.14910827577114105,-0.816511332988739,0.9945783615112305
backward,0.5845877528190613,0.23622798919677734,-0.04034166783094406,0.9989344477653503,0.5336167216300964,0.4520396292209625,-0.30320918560028076,0.9841363430023193,0.5267737507820129,0.20354138314723969,-0.6598808169364929,0.9981701970100403,0.7630133032798767,0.22349852323532104,-0.09950978308916092,0.9997456669807434,0.825482964515686,0.41770443320274353,-0.41068756580352783,0.997042179107666,0.7967814803123474,0.1570272445678711,-0.782597541809082,0.9951162338256836
backward,0.5907105803489685,0.2322029024362564,-0.0173562690615654,0.9990097880363464,0.5397308468818665,0.44705989956855774,-0.29860976338386536,0.985680103302002,0.5355233550071716,0.18903066217899323,-0.6805211305618286,0.9983485341072083,0.7694123983383179,0.22332260012626648,-0.07736250013113022,0.9997197985649109,0.8258126378059387,0.4200122356414795,-0.39324238896369934,0.9973215460777283,0.8036078810691833,0.15427842736244202,-0.7685493230819702,0.9955973625183105
backward,0.5960282683372498,0.23069414496421814,0.015322641469538212,0.9990923404693604,0.5459077954292297,0.43791431188583374,-0.27812686562538147,0.9870985150337219,0.5454710721969604,0.17630259692668915,-0.6481910347938538,0.9985122680664062,0.7733008861541748,0.22461125254631042,-0.03772095590829849,0.9997177720069885,0.8322056531906128,0.41733548045158386,-0.34966564178466797,0.9975845217704773,0.8085430264472961,0.15042521059513092,-0.7005643844604492,0.9960349202156067
backward,0.598871648311615,0.2298174798488617,0.033741820603609085,0.9991718530654907,0.5500528216362,0.43210819363594055,-0.2746824026107788,0.9883777499198914,0.5520273447036743,0.17278344929218292,-0.6626209020614624,0.9986599087715149,0.7765827178955078,0.22480328381061554,-0.020216451957821846,0.9997286200523376,0.8332280516624451,0.4178185760974884,-0.3409770429134369,0.997822105884552,0.813886284828186,0.15377198159694672,-0.696491003036499,0.9964295625686646
